movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,Combined
the curse of la llorona,Horror Thriller,Michael Chaves ,Linda Cardellini, Raymond Cruz, Patricia Velasquez,the curse of la lloronaLinda Cardellini Raymond Cruz Patricia VelasquezMichael Chaves Horror Thriller
under the silver lake,Crime Drama Mystery,David Robert Mitchell ,Andrew Garfield, Riley Keough, Topher Grace,under the silver lakeAndrew Garfield Riley Keough Topher GraceDavid Robert Mitchell Crime Drama Mystery
family,Animation Comedy Adventure Family,Laura Steinel ,Taylor Schilling, Brian Tyree Henry, Bryn Vale,familyTaylor Schilling Brian Tyree Henry Bryn ValeLaura Steinel Animation Comedy Adventure Family
fast color,Thriller Science Fiction,Julia Hart ,Gugu Mbatha-Raw, Lorraine Toussaint, Saniyya Sidney,fast colorGugu Mbatha-Raw Lorraine Toussaint Saniyya SidneyJulia Hart Thriller Science Fiction
someone great,Comedy Romance,Jennifer Kaytin Robinson ,Gina Rodriguez, Brittany Snow, DeWanda Wise,someone greatGina Rodriguez Brittany Snow DeWanda WiseJennifer Kaytin Robinson Comedy Romance
i spit on your grave: deja vu,Horror Thriller,Meir Zarchi ,Camille Keaton, Maria Olsen, Meir Zarchi,i spit on your grave: deja vuCamille Keaton Maria Olsen Meir ZarchiMeir Zarchi Horror Thriller
avengers: endgame,Adventure Science Fiction Action,Anthony and Joe Russo ,Robert Downey Jr., Chris Evans, Mark Ruffalo,avengers: endgameRobert Downey Jr. Chris Evans Mark RuffaloAnthony and Joe Russo Adventure Science Fiction Action
i trapped the devil,Horror Mystery Drama,Josh Lobo ,A. J. Bowen, Scott Poythress, Susan Burke,i trapped the devilA. J. Bowen Scott Poythress Susan BurkeJosh Lobo Horror Mystery Drama
body at brighton rock,Thriller,Roxanne Benjamin ,Karina Fontes, Casey Adams, Emily Althaus,body at brighton rockKarina Fontes Casey Adams Emily AlthausRoxanne Benjamin Thriller
buffaloed,Comedy Drama,Tanya Wexler ,Zoey Deutch, Jermaine Fowler, Judy Greer,buffaloedZoey Deutch Jermaine Fowler Judy GreerTanya Wexler Comedy Drama
