movie_title,genres,director_name,actor_1_name,actor_2_name,actor_3_name,Combined
rambo: last blood,Action Thriller Drama,Adrian Grunberg ,Sylvester Stallone, Adriana Barraza, Paz Vega,rambo: last bloodSylvester Stallone Adriana Barraza Paz VegaAdrian Grunberg Action Thriller Drama
bloodline,Horror Science Fiction,Henry Jacobson ,Seann William Scott, Mariela Garriga, Dale Dickey,bloodlineSeann William Scott Mariela Garriga Dale DickeyHenry Jacobson Horror Science Fiction
running with the devil,Action,Jason Cabell ,Nicolas Cage, Laurence Fishburne,unknown,running with the devilNicolas Cage Laurence FishburneunknownJason Cabell Action
fractured,Thriller,Brad Anderson ,Sam Worthington, Lily Rabe, Stephen Tobolowsky,fracturedSam Worthington Lily Rabe Stephen TobolowskyBrad Anderson Thriller
abominable,Family Animation Adventure Comedy,Jill Culton ,Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor,abominableTodd Wilderman (co-director); Chloe Bennet Albert Tsai Tenzing Norgay TrainorJill Culton Family Animation Adventure Comedy
the laundromat,Drama Crime Comedy,Steven Soderbergh ,Meryl Streep, Gary Oldman, Antonio Banderas,the laundromatMeryl Streep Gary Oldman Antonio BanderasSteven Soderbergh Drama Crime Comedy
judy,Drama History Music,Rupert Goold ,Renée Zellweger, Jessie Buckley, Finn Wittrock,judyRenée Zellweger Jessie Buckley Finn WittrockRupert Goold Drama History Music
prey,Thriller Action Science Fiction,Franck Khalfoun ,Logan Miller, Kristine Froseth,unknown,preyLogan Miller Kristine FrosethunknownFranck Khalfoun Thriller Action Science Fiction
10 minutes gone,Crime Action Thriller Mystery,Brian A. Miller ,Bruce Willis, Michael Chiklis,unknown,10 minutes goneBruce Willis Michael ChiklisunknownBrian A. Miller Crime Action Thriller Mystery
joker,Crime Thriller Drama,Todd Phillips ,Joaquin Phoenix, Robert De Niro, Zazie Beetz,jokerJoaquin Phoenix Robert De Niro Zazie BeetzTodd Phillips Crime Thriller Drama
lucy in the sky,Drama Science Fiction Thriller,Noah Hawley ,Natalie Portman, Jon Hamm, Zazie Beetz,lucy in the skyNatalie Portman Jon Hamm Zazie BeetzNoah Hawley Drama Science Fiction Thriller
dolemite is my name,Drama Comedy History,Craig Brewer ,Eddie Murphy, Keegan-Michael Key, Mike Epps,dolemite is my nameEddie Murphy Keegan-Michael Key Mike EppsCraig Brewer Drama Comedy History
in the tall grass,Horror Drama Thriller,Vincenzo Natali ,Patrick Wilson, Harrison Gilbertson, Rachel Wilson,in the tall grassPatrick Wilson Harrison Gilbertson Rachel WilsonVincenzo Natali Horror Drama Thriller
low tide,Drama Thriller,Kevin McMullin ,Keean Johnson, Jaeden Martell, Alex Neustaedter,low tideKeean Johnson Jaeden Martell Alex NeustaedterKevin McMullin Drama Thriller
wrinkles the clown,Documentary,Michael Beach Nichols ,Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay),unknown,wrinkles the clownMichael Beach Nichols (director); Michael Beach Nichols Christopher K. Walker (screenplay)unknownMichael Beach Nichols Documentary
little monsters,Adventure Fantasy Comedy Family,Abe Forsythe ,Lupita Nyong'o, Alexander England, Josh Gad,little monstersLupita Nyong'o Alexander England Josh GadAbe Forsythe Adventure Fantasy Comedy Family
gemini man,Science Fiction Action Thriller,Ang Lee ,Will Smith, Mary Elizabeth Winstead, Clive Owen,gemini manWill Smith Mary Elizabeth Winstead Clive OwenAng Lee Science Fiction Action Thriller
the addams family,Animation Adventure Comedy Family Fantasy Horror,"Conrad Vernon, Greg Tiernan ",Oscar Isaac, Charlize Theron, Chloë Grace Moretz,"the addams familyOscar Isaac Charlize Theron Chloë Grace MoretzConrad Vernon, Greg Tiernan Animation Adventure Comedy Family Fantasy Horror"
the king,Action Drama History,David Michôd ,Timothée Chalamet, Joel Edgerton, Sean Harris,the kingTimothée Chalamet Joel Edgerton Sean HarrisDavid Michôd Action Drama History
jexi,Comedy,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",Adam Devine, Rose Byrne, Alexandra Shipp,"jexiAdam Devine Rose Byrne Alexandra ShippJon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael PeñaComedy"
polaroid,Horror Thriller Mystery,Lars Klevberg ,Kathryn Prescott, Grace Zabriskie, Samantha Logan,polaroidKathryn Prescott Grace Zabriskie Samantha LoganLars Klevberg Horror Thriller Mystery
el camino: a breaking bad movie,Crime Drama Thriller Action,Vince Gilligan ,Aaron Paul, Jesse Plemons, Scott MacArthur,el camino: a breaking bad movieAaron Paul Jesse Plemons Scott MacArthurVince Gilligan Crime Drama Thriller Action
maleficent: mistress of evil,Family Fantasy Adventure Action,Joachim Rønning ,Angelina Jolie, Elle Fanning, Michelle Pfeiffer,maleficent: mistress of evilAngelina Jolie Elle Fanning Michelle PfeifferJoachim Rønning Family Fantasy Adventure Action
zombieland: double tap,Comedy Horror,Ruben Fleischer ,Woody Harrelson, Jesse Eisenberg, Emma Stone,zombieland: double tapWoody Harrelson Jesse Eisenberg Emma StoneRuben Fleischer Comedy Horror
jojo rabbit,Comedy War Drama,Taika Waititi ,Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson,jojo rabbitRoman Griffin Davis Thomasin McKenzie Scarlett JohanssonTaika Waititi Comedy War Drama
the lighthouse,Drama Fantasy Thriller Horror,Robert Eggers ,Willem Dafoe, Robert Pattinson,unknown,the lighthouseWillem Dafoe Robert PattinsonunknownRobert Eggers Drama Fantasy Thriller Horror
wounds,Action Crime Thriller,Babak Anvari ,Armie Hammer, Dakota Johnson, Zazie Beetz,woundsArmie Hammer Dakota Johnson Zazie BeetzBabak Anvari Action Crime Thriller
black and blue,Drama Action Thriller,Deon Taylor ,Naomie Harris, Tyrese Gibson, Frank Grillo,black and blueNaomie Harris Tyrese Gibson Frank GrilloDeon Taylor Drama Action Thriller
the current war,Drama History,Alfonso Gomez-Rejon ,Benedict Cumberbatch, Michael Shannon, Katherine Waterston,the current warBenedict Cumberbatch Michael Shannon Katherine WaterstonAlfonso Gomez-Rejon Drama History
countdown,Horror Thriller,Justin Dec ,Elizabeth Lail, Peter Facinelli, Anne Winters,countdownElizabeth Lail Peter Facinelli Anne WintersJustin Dec Horror Thriller
the kill team,War Action Drama,Dan Krauss ,unknown, Alexander Skarsgård,unknown,the kill teamunknown Alexander SkarsgårdunknownDan Krauss War Action Drama
the gallows act ii,Horror Thriller,"Chris Lofing, Travis Cluff ",Chris Milligan, Ema Horvath, Brittany Falardeau,"the gallows act iiChris Milligan Ema Horvath Brittany FalardeauChris Lofing, Travis Cluff Horror Thriller"
terminator: dark fate,Science Fiction Action Adventure,Tim Miller ,Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis,terminator: dark fateLinda Hamilton Arnold Schwarzenegger Mackenzie DavisTim Miller Science Fiction Action Adventure
motherless brooklyn,Drama Thriller,Edward Norton ,Edward Norton, Bruce Willis, Gugu Mbatha-Raw,motherless brooklynEdward Norton Bruce Willis Gugu Mbatha-RawEdward Norton Drama Thriller
the irishman,Crime Drama History,Martin Scorsese ,Robert De Niro, Al Pacino, Joe Pesci,the irishmanRobert De Niro Al Pacino Joe PesciMartin Scorsese Crime Drama History
harriet,Drama History,Kasi Lemmons ,Cynthia Erivo, Leslie Odom Jr., Joe Alwyn,harrietCynthia Erivo Leslie Odom Jr. Joe AlwynKasi Lemmons Drama History
arctic dogs,Animation Adventure Comedy,Aaron Woodley ,Jeremy Renner, James Franco, Heidi Klum,arctic dogsJeremy Renner James Franco Heidi KlumAaron Woodley Animation Adventure Comedy
marriage story,Drama,Noah Baumbach ,Scarlett Johansson, Adam Driver, Laura Dern,marriage storyScarlett Johansson Adam Driver Laura DernNoah Baumbach Drama
doctor sleep,Horror Thriller Fantasy,Mike Flanagan ,Ewan McGregor, Rebecca Ferguson, Kyliegh Curran,doctor sleepEwan McGregor Rebecca Ferguson Kyliegh CurranMike Flanagan Horror Thriller Fantasy
last christmas,Comedy Romance,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson",Emilia Clarke, Henry Golding, Michelle Yeoh,"last christmasEmilia Clarke Henry Golding Michelle YeohPaul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma ThompsonComedy Romance"
playing with fire,Family Comedy,Andy Fickman ,John Cena, Keegan-Michael Key, John Leguizamo,playing with fireJohn Cena Keegan-Michael Key John LeguizamoAndy Fickman Family Comedy
let it snow,Romance Comedy,Luke Snellin ,Isabela Merced, Shameik Moore, Kiernan Shipka,let it snowIsabela Merced Shameik Moore Kiernan ShipkaLuke Snellin Romance Comedy
midway,War History Action Drama Adventure,Roland Emmerich ,Ed Skrein, Patrick Wilson, Luke Evans,midwayEd Skrein Patrick Wilson Luke EvansRoland Emmerich War History Action Drama Adventure
klaus,Animation Family Adventure Comedy Fantasy,Sergio Pablos ,J. K. Simmons, Jason Schwartzman, Rashida Jones,klausJ. K. Simmons Jason Schwartzman Rashida JonesSergio Pablos Animation Family Adventure Comedy Fantasy
honey boy,Drama,Alma Har'el ,Shia LaBeouf, Lucas Hedges, Noah Jupe,honey boyShia LaBeouf Lucas Hedges Noah JupeAlma Har'el Drama
lady and the tramp,Family Animation Romance,Charlie Bean ,Tessa Thompson, Justin Theroux, Kiersey Clemons,lady and the trampTessa Thompson Justin Theroux Kiersey ClemonsCharlie Bean Family Animation Romance
noelle,Family Comedy Fantasy,Marc Lawrence ,Anna Kendrick, Bill Hader, Kingsley Ben-Adir,noelleAnna Kendrick Bill Hader Kingsley Ben-AdirMarc Lawrence Family Comedy Fantasy
ford v ferrari,Drama Action History,James Mangold ,Matt Damon, Christian Bale, Jon Bernthal,ford v ferrariMatt Damon Christian Bale Jon BernthalJames Mangold Drama Action History
charlie's angels,Action Adventure Comedy Science Fiction,Elizabeth Banks ,Kristen Stewart, Naomi Scott, Ella Balinska,charlie's angelsKristen Stewart Naomi Scott Ella BalinskaElizabeth Banks Action Adventure Comedy Science Fiction
the good liar,Crime,Bill Condon ,Ian McKellen, Helen Mirren, Russell Tovey,the good liarIan McKellen Helen Mirren Russell ToveyBill Condon Crime
the report,Thriller Drama,Scott Z. Burns ,Adam Driver, Annette Bening, Ted Levine,the reportAdam Driver Annette Bening Ted LevineScott Z. Burns Thriller Drama
waves,Romance Drama,Trey Edward Shults ,Kelvin Harrison Jr., Lucas Hedges, Taylor Russell,wavesKelvin Harrison Jr. Lucas Hedges Taylor RussellTrey Edward Shults Romance Drama
frozen ii,Family Animation Adventure Comedy Fantasy,"Chris Buck, Jennifer Lee ",Idina Menzel, Kristen Bell, Jonathan Groff,"frozen iiIdina Menzel Kristen Bell Jonathan GroffChris Buck, Jennifer Lee Family Animation Adventure Comedy Fantasy"
a beautiful day in the neighborhood,Drama History,Marielle Heller ,Tom Hanks, Matthew Rhys, Susan Kelechi Watson,a beautiful day in the neighborhoodTom Hanks Matthew Rhys Susan Kelechi WatsonMarielle Heller Drama History
21 bridges,Crime Action Drama,Brian Kirk ,Chadwick Boseman, Sienna Miller, Stephan James,21 bridgesChadwick Boseman Sienna Miller Stephan JamesBrian Kirk Crime Action Drama
dark waters,Drama Thriller,Todd Haynes ,Mark Ruffalo, Anne Hathaway, Tim Robbins,dark watersMark Ruffalo Anne Hathaway Tim RobbinsTodd Haynes Drama Thriller
knives out,Mystery Thriller Comedy,Rian Johnson ,Daniel Craig, Chris Evans, Ana de Armas,knives outDaniel Craig Chris Evans Ana de ArmasRian Johnson Mystery Thriller Comedy
queen & slim,Drama Romance Crime,Melina Matsoukas ,Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine,queen & slimDaniel Kaluuya Jodie Turner-Smith Bokeem WoodbineMelina Matsoukas Drama Romance Crime
the two popes,Drama Comedy History,Fernando Meirelles ,Anthony Hopkins, Jonathan Pryce,unknown,the two popesAnthony Hopkins Jonathan PryceunknownFernando Meirelles Drama Comedy History
playmobil: the movie,Family Animation Comedy Adventure,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert",Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman,"playmobil: the movieAnya Taylor-Joy Daniel Radcliffe Gabriel BatemanLino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam LambertFamily Animation Comedy Adventure"
the aeronauts,Adventure Drama Romance,Tom Harper ,Felicity Jones, Eddie Redmayne, Himesh Patel,the aeronautsFelicity Jones Eddie Redmayne Himesh PatelTom Harper Adventure Drama Romance
a million little pieces,Drama,Sam Taylor-Johnson ,Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young,a million little piecesAaron Taylor-Johnson Billy Bob Thornton Odessa YoungSam Taylor-Johnson Drama
daniel isn't real,Horror Mystery,Adam Egypt Mortimer ,Miles Robbins, Patrick Schwarzenegger, Sasha Lane,daniel isn't realMiles Robbins Patrick Schwarzenegger Sasha LaneAdam Egypt Mortimer Horror Mystery
trauma center,Action Thriller,Matt Eskandari ,Bruce Willis, Nicky Whelan,unknown,trauma centerBruce Willis Nicky WhelanunknownMatt Eskandari Action Thriller
jumanji: the next level,Adventure Comedy Fantasy,Jake Kasdan ,Dwayne Johnson, Jack Black, Kevin Hart,jumanji: the next levelDwayne Johnson Jack Black Kevin HartJake Kasdan Adventure Comedy Fantasy
richard jewell,Drama History Crime,Clint Eastwood ,Paul Walter Hauser, Sam Rockwell, Kathy Bates,richard jewellPaul Walter Hauser Sam Rockwell Kathy BatesClint Eastwood Drama History Crime
black christmas,Horror Mystery Thriller,Sophia Takal ,Imogen Poots, Lily Donoghue, Aleyse Shannon,black christmasImogen Poots Lily Donoghue Aleyse ShannonSophia Takal Horror Mystery Thriller
6 underground,Action Thriller Comedy,Michael Bay ,Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo,6 undergroundRyan Reynolds Mélanie Laurent Manuel Garcia-RulfoMichael Bay Action Thriller Comedy
bombshell,Drama,Jay Roach ,Charlize Theron, Nicole Kidman, Margot Robbie,bombshellCharlize Theron Nicole Kidman Margot RobbieJay Roach Drama
uncut gems,Drama Thriller Crime,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian",Adam Sandler, Lakeith Stanfield, Julia Fox,"uncut gemsAdam Sandler Lakeith Stanfield Julia FoxSafdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric BogosianDrama Thriller Crime"
seberg,Thriller Drama,Benedict Andrews ,Kristen Stewart, Jack O'Connell, Margaret Qualley,sebergKristen Stewart Jack O'Connell Margaret QualleyBenedict Andrews Thriller Drama
a hidden life,Drama War History,Terrence Malick ,August Diehl, Valerie Pachner, Matthias Schoenaerts,a hidden lifeAugust Diehl Valerie Pachner Matthias SchoenaertsTerrence Malick Drama War History
star wars: the rise of skywalker,Adventure Action Science Fiction,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams",Carrie Fisher, Mark Hamill, Adam Driver,"star wars: the rise of skywalkerCarrie Fisher Mark Hamill Adam DriverJ. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee WilliamsAdventure Action Science Fiction"
cats,Fantasy Comedy Drama,Tom Hooper ,James Corden, Judi Dench, Jason Derulo,catsJames Corden Judi Dench Jason DeruloTom Hooper Fantasy Comedy Drama
togo,Crime Drama,Ericson Core ,Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl,togoWillem Dafoe Julianne Nicholson Christopher HeyerdahlEricson Core Crime Drama
spies in disguise,Animation Action Adventure Comedy Family,"Nick Bruno, Troy Quane ",Will Smith, Tom Holland, Rashida Jones,"spies in disguiseWill Smith Tom Holland Rashida JonesNick Bruno, Troy Quane Animation Action Adventure Comedy Family"
little women,Drama Romance History,Greta Gerwig ,Saoirse Ronan, Emma Watson, Florence Pugh,little womenSaoirse Ronan Emma Watson Florence PughGreta Gerwig Drama Romance History
1917,War Drama History,Sam Mendes ,George MacKay, Dean-Charles Chapman, Mark Strong,1917George MacKay Dean-Charles Chapman Mark StrongSam Mendes War Drama History
just mercy,Drama Crime History,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc",Michael B. Jordan, Jamie Foxx, Brie Larson,"just mercyMichael B. Jordan Jamie Foxx Brie LarsonDestin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlancDrama Crime History"
clemency,Drama,Chinonye Chukwu ,Alfre Woodard, Wendell Pierce, Aldis Hodge,clemencyAlfre Woodard Wendell Pierce Aldis HodgeChinonye Chukwu Drama
